date,Date,pm25_sea_ma
17-01-2018 06:00,17-01-2018,393
17-01-2018 07:00,17-01-2018,384
17-01-2018 08:00,17-01-2018,365
17-01-2018 09:00,17-01-2018,349
17-01-2018 10:00,17-01-2018,357
17-01-2018 11:00,17-01-2018,346
17-01-2018 12:00,17-01-2018,368
17-01-2018 13:00,17-01-2018,334
17-01-2018 14:00,17-01-2018,311
17-01-2018 15:00,17-01-2018,310
17-01-2018 16:00,17-01-2018,288
17-01-2018 17:00,17-01-2018,189
17-01-2018 18:00,17-01-2018,308
17-01-2018 19:00,17-01-2018,330
17-01-2018 20:00,17-01-2018,369
17-01-2018 21:00,17-01-2018,378
17-01-2018 22:00,17-01-2018,383
17-01-2018 23:00,17-01-2018,375
18-01-2018 00:00,18-01-2018,389
18-01-2018 01:00,18-01-2018,398
18-01-2018 02:00,18-01-2018,423
18-01-2018 03:00,18-01-2018,419
18-01-2018 04:00,18-01-2018,400
18-01-2018 05:00,18-01-2018,398
18-01-2018 06:00,18-01-2018,380
18-01-2018 07:00,18-01-2018,398
18-01-2018 08:00,18-01-2018,386
18-01-2018 09:00,18-01-2018,368
18-01-2018 10:00,18-01-2018,413
18-01-2018 11:00,18-01-2018,388
18-01-2018 12:00,18-01-2018,313
18-01-2018 13:00,18-01-2018,180
18-01-2018 14:00,18-01-2018,220
18-01-2018 15:00,18-01-2018,198
18-01-2018 16:00,18-01-2018,262
18-01-2018 17:00,18-01-2018,238
18-01-2018 18:00,18-01-2018,317
18-01-2018 19:00,18-01-2018,326
18-01-2018 20:00,18-01-2018,334
18-01-2018 21:00,18-01-2018,382
18-01-2018 22:00,18-01-2018,410
18-01-2018 23:00,18-01-2018,486
19-01-2018 00:00,19-01-2018,478
19-01-2018 01:00,19-01-2018,443
19-01-2018 02:00,19-01-2018,440
19-01-2018 03:00,19-01-2018,412
19-01-2018 04:00,19-01-2018,433
19-01-2018 05:00,19-01-2018,402
19-01-2018 06:00,19-01-2018,409
19-01-2018 07:00,19-01-2018,471
19-01-2018 08:00,19-01-2018,446
19-01-2018 09:00,19-01-2018,413
19-01-2018 10:00,19-01-2018,362
19-01-2018 11:00,19-01-2018,365
19-01-2018 12:00,19-01-2018,351
19-01-2018 13:00,19-01-2018,330
19-01-2018 14:00,19-01-2018,310
19-01-2018 15:00,19-01-2018,321
19-01-2018 16:00,19-01-2018,321
19-01-2018 17:00,19-01-2018,286
19-01-2018 18:00,19-01-2018,267
19-01-2018 19:00,19-01-2018,246
19-01-2018 20:00,19-01-2018,361
19-01-2018 21:00,19-01-2018,418
19-01-2018 22:00,19-01-2018,455
19-01-2018 23:00,19-01-2018,435
20-01-2018 00:00,20-01-2018,415
20-01-2018 01:00,20-01-2018,356
20-01-2018 02:00,20-01-2018,367
20-01-2018 03:00,20-01-2018,416
20-01-2018 04:00,20-01-2018,410
20-01-2018 05:00,20-01-2018,355
20-01-2018 06:00,20-01-2018,382
20-01-2018 07:00,20-01-2018,390
20-01-2018 08:00,20-01-2018,345
20-01-2018 09:00,20-01-2018,327
20-01-2018 10:00,20-01-2018,325
20-01-2018 11:00,20-01-2018,306
20-01-2018 12:00,20-01-2018,150
20-01-2018 13:00,20-01-2018,83
20-01-2018 14:00,20-01-2018,52
20-01-2018 15:00,20-01-2018,59
20-01-2018 16:00,20-01-2018,70
20-01-2018 17:00,20-01-2018,69
20-01-2018 18:00,20-01-2018,83
20-01-2018 19:00,20-01-2018,126
20-01-2018 20:00,20-01-2018,175
20-01-2018 21:00,20-01-2018,311
20-01-2018 22:00,20-01-2018,338
20-01-2018 23:00,20-01-2018,339
21-01-2018 00:00,21-01-2018,352
21-01-2018 01:00,21-01-2018,331
21-01-2018 02:00,21-01-2018,375
21-01-2018 03:00,21-01-2018,351
21-01-2018 04:00,21-01-2018,330
21-01-2018 05:00,21-01-2018,328
21-01-2018 06:00,21-01-2018,327
21-01-2018 07:00,21-01-2018,339
21-01-2018 08:00,21-01-2018,332
21-01-2018 09:00,21-01-2018,322
21-01-2018 10:00,21-01-2018,329
21-01-2018 11:00,21-01-2018,329
21-01-2018 12:00,21-01-2018,241
21-01-2018 13:00,21-01-2018,126
21-01-2018 14:00,21-01-2018,82
21-01-2018 15:00,21-01-2018,62
21-01-2018 16:00,21-01-2018,78
21-01-2018 17:00,21-01-2018,56
21-01-2018 18:00,21-01-2018,61
21-01-2018 19:00,21-01-2018,85
21-01-2018 20:00,21-01-2018,143
21-01-2018 21:00,21-01-2018,267
21-01-2018 22:00,21-01-2018,309
21-01-2018 23:00,21-01-2018,353
22-01-2018 00:00,22-01-2018,362
22-01-2018 01:00,22-01-2018,336
22-01-2018 02:00,22-01-2018,328
22-01-2018 03:00,22-01-2018,340
22-01-2018 04:00,22-01-2018,317
22-01-2018 05:00,22-01-2018,291
22-01-2018 06:00,22-01-2018,342
22-01-2018 07:00,22-01-2018,414
22-01-2018 08:00,22-01-2018,397
22-01-2018 09:00,22-01-2018,418
22-01-2018 10:00,22-01-2018,351
22-01-2018 11:00,22-01-2018,147
22-01-2018 12:00,22-01-2018,209
22-01-2018 13:00,22-01-2018,182
22-01-2018 14:00,22-01-2018,216
22-01-2018 15:00,22-01-2018,131
22-01-2018 16:00,22-01-2018,242
